# coding: utf-8
# 小鹤音形用户词库（与系统词条重码时居后）
# 该文件以UTF-8编码保存
# 编码格式：字词+Tab符+编码（用户词库本身有重码则还需后面+Tab符+权重，权重大者居前，权重数字随意）
 
#    === 强调一下 === 
# 
#   词条和编码之间的不是空格，而是Tab符，如果你不知道，就复制下面编码中的空白处
#   或者按住键盘 G 键，切换到功能键盘，使用上面的Tab键
# 
#    ================
# 
# 如两个用户词重码，则需加权重排序，权重大者居前，如下：
#
# 同文	tw	90
# 提问	tw	30
#
# 如只加一个用户词，无需权重，如下（如想置于系统词“台湾”前，请把词条放到flypy_top文件内）：
# 
# 同文	tw
#    ================
#
# 虽然文本码表编辑较为方便，但不适合导入大量条目

#用户词库，下一行后开始添加。切换方案或部署后生效
# no comment
瘁	cvbu
ambiguity	ambiguity
ambiguous	ambiguous
ambit	ambit
ambition	ambition
ambitious	ambitious
ambivalent	ambivalent
amble	amble
ambulance	ambulance
ambush	ambush
ameba	ameba
ameliorate	ameliorate
amen	amen
amenable	amenable
amend	amend
amendment	amendment
amends	amends
amenity	amenity
Amerasian	Amerasian
American	American
Americana	Americana
Americanism	Americanism
Americanize	Americanize
Amerindian	Amerindian
amethyst	amethyst
amiable	amiable
amicable	amicable
amid	amid
amidships	amidships
amiss	amiss
amity	amity
ammeter	ammeter
ammo	ammo
ammonia	ammonia
ammunition	ammunition
amnesia	amnesia
amnesty	amnesty
amniocentesis	amniocentesis
amoeba	amoeba
amok	amok
among	among
amoral	amoral
amorous	amorous
amorphous	amorphous
amortize	amortize
amount	amount
amour	amour
amp	amp
ampersand	ampersand
amphetamine	amphetamine
amphibian	amphibian
amphibious	amphibious
amphitheatre	amphitheatre
ample	ample
amplifier	amplifier
amplify	amplify
amplitude	amplitude
ampoule	ampoule
amputate	amputate
amputee	amputee
amulet	amulet
amuse	amuse
amused	amused
amusement	amusement
amusing	amusing
an	an
ana	ana
anachronism	anachronism
anaconda	anaconda
anaemia	anaemia
anaemic	anaemic
anaerobic	anaerobic
anaesthesia	anaesthesia
anaesthetic	anaesthetic
anaesthetist	anaesthetist
anaesthetize	anaesthetize
anagram	anagram
anal	anal
analgesia	analgesia
analgesic	analgesic
analogous	analogous
analogue	analogue
analogy	analogy
analyse	analyse
analysis	analysis
analyst	analyst
analytical	analytical
analyze	analyze
anarchism	anarchism
anarchist	anarchist
anarchy	anarchy
anathema	anathema
anatomist	anatomist
anatomy	anatomy
ancestor	ancestor
ancestry	ancestry
anchor	anchor
anchorage	anchorage
anchorman	anchorman
anchovy	anchovy
ancient	ancient
ancillary	ancillary
and	and
andante	andante
androgynous	androgynous
android	android
anecdotal	anecdotal
anecdote	anecdote
anemia	anemia
anemic	anemic
anemone	anemone
anesthesia	anesthesia
anesthesiologist	anesthesiologist
anesthetic	anesthetic
anesthetist	anesthetist
anesthetize	anesthetize
anew	anew
angel	angel
angelic	angelic
angelica	angelica
angelus	angelus
anger	anger
angina	angina
angle	angle
angler	angler
Anglican	Anglican
Anglicize	Anglicize
angling	angling
Anglophile	Anglophile
anglophone	anglophone
angora	angora
angostura	angostura
angry	angry
angst	angst
anguish	anguish
angular	angular
animal	animal
animate	animate
animated	animated
animation	animation
animator	animator
animosity	animosity
animus	animus
anise	anise
aniseed	aniseed
ankle	ankle
anklet	anklet
annals	annals
anneal	anneal
annex	annex
annexe	annexe
annihilate	annihilate
anniversary	anniversary
annotate	annotate
announce	announce
announcement	announcement
announcer	announcer
annoy	annoy
annoyance	annoyance
annoyed	annoyed
annoying	annoying
annual	annual
annualized	annualized
annually	annually
annuity	annuity
annul	annul
annunciation	annunciation
anode	anode
anodyne	anodyne
anoint	anoint
anomalous	anomalous
anomaly	anomaly
anon	anon
anonymity	anonymity
anonymous	anonymous
anorak	anorak
anorexia	anorexia
anorexic	anorexic
another	another
answer	answer
answerable	answerable
answerphone	answerphone
ant	ant
antacid	antacid
antagonism	antagonism
antagonist	antagonist
antagonistic	antagonistic
antagonize	antagonize
Antarctic	Antarctic
ante	ante
anteater	anteater
antecedent	antecedent
antechamber	antechamber
antedate	antedate
antediluvian	antediluvian
antelope	antelope
antenatal	antenatal
antenna	antenna
anterior	anterior
anthem	anthem
anther	anther
anthill	anthill
anthology	anthology
anthracite	anthracite
anthrax	anthrax
anthropoid	anthropoid
anthropologist	anthropologist
anthropology	anthropology
anthropomorphic	anthropomorphic
anti	anti
antibiotic	antibiotic
antibody	antibody
Antichrist	Antichrist
anticipate	anticipate
anticipation	anticipation
anticlimax	anticlimax
anticlockwise	anticlockwise
anticoagulant	anticoagulant
antics	antics
anticyclone	anticyclone
antidepressant	antidepressant
antidote	antidote
antifreeze	antifreeze
antigen	antigen
antihistamine	antihistamine
antimony	antimony
antioxidant	antioxidant
antipathy	antipathy
antiperspirant	antiperspirant
Antipodes	Antipodes
antiquarian	antiquarian
antiquated	antiquated
antique	antique
antiquity	antiquity
antiseptic	antiseptic
antisocial	antisocial
antithesis	antithesis
antler	antler
antonym	antonym
antsy	antsy
anus	anus
anvil	anvil
anxiety	anxiety
anxious	anxious
any	any
anybody	anybody
anyhow	anyhow
anyone	anyone
anyplace	anyplace
anything	anything
anyway	anyway
anywhere	anywhere
AOB	AOB
aorta	aorta
apace	apace
apart	apart
apartheid	apartheid
apartment	apartment
apathetic	apathetic
apathy	apathy
ape	ape
aperitif	aperitif
aperture	aperture
apeshit	apeshit
Apex	Apex
apex	apex
aphasia	aphasia
aphid	aphid
aphorism	aphorism
aphrodisiac	aphrodisiac
apiary	apiary
apiece	apiece
aplenty	aplenty
aplomb	aplomb
apocalypse	apocalypse
apocalyptic	apocalyptic
apocryphal	apocryphal
apogee	apogee
apolitical	apolitical
apologetic	apologetic
apologist	apologist
apologize	apologize
apology	apology
apoplectic	apoplectic
apoplexy	apoplexy
apostate	apostate
aposteriori	aposteriori
apostle	apostle
apostolic	apostolic
apostrophe	apostrophe
apothecary	apothecary
apotheosis	apotheosis
appal	appal
appalled	appalled
appalling	appalling
apparatchik	apparatchik
apparatus	apparatus
apparel	apparel
apparent	apparent
apparently	apparently
