# coding: utf-8
# 小鹤音形用户词库（与系统词条重码时居后）
# 该文件以UTF-8编码保存
# 编码格式：字词+Tab符+编码（用户词库本身有重码则还需后面+Tab符+权重，权重大者居前，权重数字随意）
 
#    === 强调一下 === 
# 
#   词条和编码之间的不是空格，而是Tab符，如果你不知道，就复制下面编码中的空白处
#   或者按住键盘 G 键，切换到功能键盘，使用上面的Tab键
# 
#    ================
# 
# 如两个用户词重码，则需加权重排序，权重大者居前，如下：
#
# 同文	tw	90
# 提问	tw	30
#
# 如只加一个用户词，无需权重，如下（如想置于系统词“台湾”前，请把词条放到flypy_top文件内）：
# 
# 同文	tw
#    ================
#
# 虽然文本码表编辑较为方便，但不适合导入大量条目

#用户词库，下一行后开始添加。切换方案或部署后生效
# no comment
瘁	cvbu
oblivion	oblivion
oblivious	oblivious
oblong	oblong
obloquy	obloquy
obnoxious	obnoxious
oboe	oboe
oboist	oboist
obscene	obscene
obscenity	obscenity
obscurantism	obscurantism
obscure	obscure
obscurity	obscurity
obsequies	obsequies
obsequious	obsequious
observable	observable
observance	observance
observant	observant
observation	observation
observatory	observatory
observe	observe
observer	observer
obsess	obsess
obsession	obsession
obsessional	obsessional
obsessive	obsessive
obsidian	obsidian
obsolescence	obsolescence
obsolete	obsolete
obstacle	obstacle
obstetrician	obstetrician
obstetrics	obstetrics
obstinate	obstinate
obstreperous	obstreperous
obstruct	obstruct
obstruction	obstruction
obstructionism	obstructionism
obstructive	obstructive
obtain	obtain
obtainable	obtainable
obtrude	obtrude
obtrusive	obtrusive
obtuse	obtuse
obverse	obverse
obviate	obviate
obvious	obvious
obviously	obviously
occasion	occasion
occasional	occasional
occasionally	occasionally
Occident	Occident
occult	occult
occultist	occultist
occupancy	occupancy
occupant	occupant
occupation	occupation
occupational	occupational
occupied	occupied
occupier	occupier
occupy	occupy
occur	occur
occurrence	occurrence
ocean	ocean
oceanfront	oceanfront
oceanic	oceanic
oceanography	oceanography
ocelot	ocelot
och	och
ochre	ochre
OCR	OCR
octagon	octagon
octane	octane
octave	octave
octet	octet
October	October
octogenarian	octogenarian
octopus	octopus
ocular	ocular
oculist	oculist
OD	OD
odd	odd
oddball	oddball
oddity	oddity
oddly	oddly
oddments	oddments
odds	odds
ode	ode
odious	odious
odium	odium
odometer	odometer
odorous	odorous
odour	odour
odourless	odourless
odyssey	odyssey
OECD	OECD
Oedipal	Oedipal
oesophagus	oesophagus
oestrogen	oestrogen
oeuvre	oeuvre
of	of
off	off
offal	offal
offbeat	offbeat
offcut	offcut
offence	offence
offend	offend
offender	offender
offending	offending
offense	offense
offensive	offensive
offer	offer
offering	offering
offertory	offertory
offhand	offhand
office	office
officer	officer
official	official
officialdom	officialdom
officialese	officialese
officially	officially
officiate	officiate
officious	officious
offing	offing
offload	offload
offset	offset
offshoot	offshoot
offshore	offshore
offside	offside
offspring	offspring
offstage	offstage
oft	oft
often	often
oftentimes	oftentimes
ogle	ogle
ogre	ogre
oh	oh
ohm	ohm
OHP	OHP
oi	oi
oik	oik
oil	oil
oilcan	oilcan
oilcloth	oilcloth
oiled	oiled
oilfield	oilfield
oilman	oilman
oilskin	oilskin
oily	oily
oink	oink
ointment	ointment
OK	OK
okra	okra
old	old
olde	olde
olden	olden
oldie	oldie
oldish	oldish
oldster	oldster
ole	ole
oleander	oleander
olfactory	olfactory
oligarch	oligarch
oligarchy	oligarchy
olive	olive
Olympiad	Olympiad
Olympian	Olympian
Olympic	Olympic
Olympics	Olympics
ombudsman	ombudsman
omega	omega
omelette	omelette
omen	omen
ominous	ominous
omission	omission
omit	omit
omnibus	omnibus
omnipotent	omnipotent
omnipresent	omnipresent
omniscient	omniscient
omnivore	omnivore
omnivorous	omnivorous
on	on
once	once
oncology	oncology
oncoming	oncoming
one	one
oneness	oneness
onerous	onerous
oneself	oneself
ongoing	ongoing
onion	onion
online	online
onlooker	onlooker
only	only
ono	ono
onomatopoeia	onomatopoeia
onrush	onrush
onset	onset
onshore	onshore
onside	onside
onslaught	onslaught
onstage	onstage
onto	onto
ontology	ontology
onus	onus
onward	onward
onwards	onwards
onyx	onyx
oodles	oodles
oomph	oomph
ooze	ooze
op	op
opacity	opacity
opal	opal
opalescent	opalescent
opaque	opaque
OPEC	OPEC
open	open
opencast	opencast
opener	opener
opening	opening
openly	openly
openness	openness
opera	opera
operable	operable
operate	operate
operation	operation
operational	operational
operative	operative
operator	operator
operetta	operetta
ophthalmic	ophthalmic
ophthalmologist	ophthalmologist
ophthalmology	ophthalmology
opiate	opiate
opinion	opinion
opinionated	opinionated
opium	opium
opossum	opossum
opponent	opponent
opportune	opportune
opportunism	opportunism
opportunist	opportunist
opportunistic	opportunistic
opportunity	opportunity
oppose	oppose
opposed	opposed
opposing	opposing
opposite	opposite
opposition	opposition
oppress	oppress
oppressed	oppressed
oppressive	oppressive
oppressor	oppressor
opprobrium	opprobrium
opt	opt
optic	optic
optical	optical
optician	optician
optics	optics
optimal	optimal
optimism	optimism
optimist	optimist
optimistic	optimistic
optimize	optimize
optimum	optimum
option	option
optional	optional
optometrist	optometrist
opulent	opulent
opus	opus
or	or
oracle	oracle
oracular	oracular
oral	oral
orange	orange
orangeade	orangeade
orangery	orangery
oration	oration
orator	orator
oratorical	oratorical
oratorio	oratorio
oratory	oratory
orb	orb
orbit	orbit
orbital	orbital
orchard	orchard
orchestra	orchestra
orchestral	orchestral
orchestrate	orchestrate
orchid	orchid
ordain	ordain
ordeal	ordeal
order	order
ordered	ordered
ordering	ordering
orderly	orderly
ordinal	ordinal
ordinance	ordinance
ordinand	ordinand
ordinarily	ordinarily
ordinary	ordinary
ordination	ordination
ordnance	ordnance
ordure	ordure
ore	ore
oregano	oregano
organ	organ
organdie	organdie
organic	organic
organism	organism
organist	organist
organization	organization
organize	organize
organized	organized
organza	organza
orgasm	orgasm
orgasmic	orgasmic
orgiastic	orgiastic
orgy	orgy
oriel	oriel
Orient	Orient
orient	orient
Oriental	Oriental
oriental	oriental
orientalist	orientalist
orientate	orientate
orientation	orientation
orienteering	orienteering
orifice	orifice
origami	origami
origin	origin
original	original
originality	originality
originally	originally
originate	originate
oriole	oriole
ormolu	ormolu
ornament	ornament
ornamental	ornamental
ornamentation	ornamentation
ornate	ornate
ornery	ornery
ornithologist	ornithologist
ornithology	ornithology
orphan	orphan
orphanage	orphanage
orthodontics	orthodontics
orthodontist	orthodontist
orthodox	orthodox
orthodoxy	orthodoxy
orthography	orthography
orthopaedics	orthopaedics
oryx	oryx
OS	OS
Oscar	Oscar
oscillate	oscillate
oscillation	oscillation
oscillator	oscillator
oscilloscope	oscilloscope
osier	osier
osmosis	osmosis
osprey	osprey
ossify	ossify
ostensible	ostensible
ostentation	ostentation
ostentatious	ostentatious
osteoarthritis	osteoarthritis
osteopath	osteopath
osteopathy	osteopathy
osteoporosis	osteoporosis
ostler	ostler
ostracism	ostracism
ostracize	ostracize
ostrich	ostrich
other	other
otherness	otherness
otherwise	otherwise
otiose	otiose
OTT	OTT
otter	otter
ottoman	ottoman
OU	OU
ouch	ouch
ounce	ounce
our	our
ours	ours
ourselves	ourselves
oust	oust
ouster	ouster
out	out
outage	outage
outback	outback
outbid	outbid
outboard	outboard
outbound	outbound
outbreak	outbreak
outbuilding	outbuilding
outburst	outburst
outcast	outcast
outclass	outclass
outcome	outcome
outcrop	outcrop
outcry	outcry
outdated	outdated
outdistance	outdistance
outdo	outdo
outdoor	outdoor
outdoors	outdoors
outer	outer
outermost	outermost
outerwear	outerwear
outface	outface
outfall	outfall
outfield	outfield
outfielder	outfielder
outfit	outfit
outfitter	outfitter
outfitters	outfitters
outflank	outflank
outflow	outflow
outfox	outfox
outgoing	outgoing
outgoings	outgoings
outgrow	outgrow
outgrowth	outgrowth
outgun	outgun
outhouse	outhouse
outing	outing
outlandish	outlandish
outlast	outlast
outlaw	outlaw
outlay	outlay
outlet	outlet
outline	outline
outlive	outlive
outlook	outlook
outlying	outlying
outmanoeuvre	outmanoeuvre
outmoded	outmoded
outnumber	outnumber
outpace	outpace
outpatient	outpatient
outperform	outperform
outplacement	outplacement
outplay	outplay
outpoint	outpoint
outpost	outpost
outpouring	outpouring
output	output
outrage	outrage
outrageous	outrageous
outrank	outrank
outre	outre
outreach	outreach
outrider	outrider
outrigger	outrigger
outright	outright
outrun	outrun
outsell	outsell
outset	outset
outshine	outshine
outside	outside
outsider	outsider
outsize	outsize
outskirts	outskirts
outsmart	outsmart
outsource	outsource
outspoken	outspoken
outspread	outspread
outstanding	outstanding
outstandingly	outstandingly
outstay	outstay
outstretched	outstretched
outstrip	outstrip
outvote	outvote
outward	outward
outwardly	outwardly
outwards	outwards
outweigh	outweigh
outwit	outwit
outwith	outwith
outwork	outwork
outworn	outworn
ouzo	ouzo
ova	ova
oval	oval
ovary	ovary
ovation	ovation
oven	oven
ovenproof	ovenproof
over	over
overact	overact
overall	overall
overarching	overarching
overarm	overarm
overawe	overawe
overbalance	overbalance
overbearing	overbearing
overbite	overbite
overblown	overblown
overboard	overboard
overbook	overbook
overburden	overburden
overcapacity	overcapacity
overcast	overcast
overcharge	overcharge
overcoat	overcoat
overcome	overcome
overcompensate	overcompensate
overcook	overcook
overcrowded	overcrowded
overcrowding	overcrowding
overdeveloped	overdeveloped
overdo	overdo
overdose	overdose
overdraft	overdraft
overdraw	overdraw
overdrawn	overdrawn
overdressed	overdressed
overdrive	overdrive
overdue	overdue
overeat	overeat
overemphasis	overemphasis
overestimate	overestimate
overexcited	overexcited
overexpose	overexpose
overextended	overextended
overfeed	overfeed
overfishing	overfishing
overflow	overflow
overfly	overfly
overground	overground
overgrown	overgrown
overgrowth	overgrowth
overhand	overhand
overhang	overhang
overhaul	overhaul
overhead	overhead
overheads	overheads
overhear	overhear
overheat	overheat
overheated	overheated
overjoyed	overjoyed
overkill	overkill
overland	overland
overlap	overlap
overlay	overlay
overleaf	overleaf
overlie	overlie
overload	overload
overlong	overlong
overlook	overlook
overlord	overlord
overly	overly
overmanned	overmanned
overmuch	overmuch
overnight	overnight
overpass	overpass
overpay	overpay
overplay	overplay
overpopulated	overpopulated
overpower	overpower
overpowering	overpowering
overpriced	overpriced
overprint	overprint
overprotective	overprotective
overqualified	overqualified
overrate	overrate
overreach	overreach
overreact	overreact
override	override
overriding	overriding
overripe	overripe
overrule	overrule
overrun	overrun
overseas	overseas
oversee	oversee
overseer	overseer
oversell	oversell
oversensitive	oversensitive
oversexed	oversexed
overshadow	overshadow
overshoot	overshoot
oversight	oversight
oversimplify	oversimplify
oversized	oversized
oversleep	oversleep
overspend	overspend
overspill	overspill
overstaffed	overstaffed
overstate	overstate
overstay	overstay
overstep	overstep
overstock	overstock
overstretch	overstretch
oversubscribed	oversubscribed
overt	overt
overtake	overtake
overtax	overtax
overthrow	overthrow
overtime	overtime
overtired	overtired
overtone	overtone
overture	overture
overturn	overturn
overuse	overuse
overvalue	overvalue
overview	overview
overweening	overweening
overweight	overweight
overwhelm	overwhelm
overwhelming	overwhelming
overwinter	overwinter
overwork	overwork
overworked	overworked
overwrite	overwrite
overwrought	overwrought
oviduct	oviduct
ovoid	ovoid
ovulate	ovulate
ovum	ovum
ow	ow
owe	owe
owing	owing
owl	owl
owlish	owlish
own	own
owner	owner
ownership	ownership
ox	ox
Oxbridge	Oxbridge
oxford	oxford
oxide	oxide
oxidize	oxidize
Oxon	Oxon
oxtail	oxtail
oxyacetylene	oxyacetylene
oxygen	oxygen
oxygenate	oxygenate
oxymoron	oxymoron
oyster	oyster
Oz	Oz
oz	oz
ozone	ozone
P	P
p	p
PA	PA
pa	pa
pace	pace
pacemaker	pacemaker
pacesetter	pacesetter
pachyderm	pachyderm
pacific	pacific
pacifier	pacifier
pacifism	pacifism
pacifist	pacifist
pacify	pacify
pack	pack
package	package
packaging	packaging
packed	packed
packer	packer
packet	packet
packing	packing
pact	pact
pacy	pacy
pad	pad
padding	padding
paddle	paddle
paddock	paddock
Paddy	Paddy
paddy	paddy
padlock	padlock
padre	padre
paean	paean
paediatrician	paediatrician
paediatrics	paediatrics
paedophile	paedophile
paedophilia	paedophilia
paella	paella
pagan	pagan
page	page
pageant	pageant
pageantry	pageantry
pageboy	pageboy
pager	pager
paginate	paginate
pagination	pagination
pagoda	pagoda
pah	pah
paid	paid
pail	pail
pain	pain
pained	pained
painful	painful
painfully	painfully
painkiller	painkiller
painless	painless
pains	pains
painstaking	painstaking
paint	paint
paintball	paintball
paintbox	paintbox
paintbrush	paintbrush
painter	painter
painterly	painterly
painting	painting
paintwork	paintwork
pair	pair
pairing	pairing
paisley	paisley
pajamas	pajamas
Paki	Paki
pal	pal
palace	palace
palaeolithic	palaeolithic
palaeontologist	palaeontologist
palaeontology	palaeontology
palais	palais
palatable	palatable
palatal	palatal
palate	palate
palatial	palatial
palatinate	palatinate
palatine	palatine
palaver	palaver
pale	pale
palette	palette
palimony	palimony
palimpsest	palimpsest
palindrome	palindrome
paling	paling
palisade	palisade
pall	pall
pallet	pallet
palliasse	palliasse
palliate	palliate
palliative	palliative
pallid	pallid
pallor	pallor
pally	pally
palm	palm
palmetto	palmetto
palmist	palmist
palmistry	palmistry
palmtop	palmtop
palmy	palmy
palomino	palomino
palpable	palpable
palpate	palpate
palpitate	palpitate
palpitations	palpitations
palsy	palsy
paltry	paltry
pampas	pampas
pamper	pamper
pamphlet	pamphlet
pamphleteer	pamphleteer
pan	pan
panacea	panacea
panache	panache
panama	panama
pancake	pancake
pancreas	pancreas
panda	panda
pandemic	pandemic
pandemonium	pandemonium
pander	pander
pane	pane
panegyric	panegyric
panel	panel
panelling	panelling
panellist	panellist
pang	pang
panhandler	panhandler
panic	panic
panicky	panicky
pannier	pannier
panoply	panoply
panorama	panorama
pansy	pansy
pant	pant
pantaloons	pantaloons
pantechnicon	pantechnicon
pantheism	pantheism
pantheon	pantheon
panther	panther
panties	panties
pantile	pantile
panto	panto
pantomime	pantomime
pantry	pantry
pants	pants
pantsuit	pantsuit
pantyhose	pantyhose
pap	pap
papa	papa
papacy	papacy
papal	papal
paparazzo	paparazzo
papaya	papaya
paper	paper
paperback	paperback
paperchase	paperchase
paperless	paperless
paperweight	paperweight
paperwork	paperwork
papery	papery
papist	papist
papoose	papoose
paprika	paprika
papyrus	papyrus
par	par
para	para
parable	parable
parabola	parabola
paracetamol	paracetamol
parachute	parachute
parachutist	parachutist
parade	parade
paradigm	paradigm
paradise	paradise
paradox	paradox
paraffin	paraffin
paragliding	paragliding
paragon	paragon
paragraph	paragraph
parakeet	parakeet
paralegal	paralegal
parallax	parallax
parallel	parallel
parallelism	parallelism
parallelogram	parallelogram
paralyse	paralyse
paralysis	paralysis
paralytic	paralytic
paramedic	paramedic
parameter	parameter
paramilitary	paramilitary
paramount	paramount
paramour	paramour
paranoia	paranoia
paranoid	paranoid
paranormal	paranormal
parapet	parapet
paraphernalia	paraphernalia
paraphrase	paraphrase
paraplegia	paraplegia
paraplegic	paraplegic
parapsychology	parapsychology
paraquat	paraquat
parascending	parascending
parasite	parasite
parasitic	parasitic
parasol	parasol
paratrooper	paratrooper
paratroops	paratroops
parboil	parboil
parcel	parcel
parch	parch
parched	parched
Parcheesi	Parcheesi
parchment	parchment
pardon	pardon
pardonable	pardonable
pare	pare
parent	parent
parentage	parentage
parental	parental
parenthesis	parenthesis
parenthetic	parenthetic
parenthood	parenthood
parenting	parenting
parentis	parentis
pariah	pariah
parings	parings
parish	parish
parishioner	parishioner
parity	parity
park	park
parka	parka
parkin	parkin
parking	parking
parkland	parkland
parkway	parkway
parlance	parlance
parlay	parlay
parley	parley
parliament	parliament
parliamentarian	parliamentarian
parliamentary	parliamentary
parlour	parlour
parlous	parlous
Parmesan	Parmesan
parochial	parochial
parodist	parodist
parody	parody
parole	parole
paroxysm	paroxysm
parquet	parquet
parricide	parricide
parrot	parrot
parry	parry
parse	parse
Parsee	Parsee
parsimonious	parsimonious
parsimony	parsimony
parsley	parsley
parsnip	parsnip
parson	parson
parsonage	parsonage
part	part
partake	partake
partial	partial
partiality	partiality
partially	partially
participant	participant
participate	participate
participation	participation
participle	participle
particle	particle
particular	particular
particularity	particularity
particularize	particularize
particularly	particularly
parting	parting
partisan	partisan
partition	partition
partitive	partitive
partly	partly
partner	partner
partnership	partnership
partook	partook
partridge	partridge
party	party
parvenu	parvenu
pass	pass
passable	passable
passably	passably
passage	passage
passant	passant
passbook	passbook
passe	passe
passenger	passenger
passim	passim
passing	passing
passion	passion
passionate	passionate
passionless	passionless
passive	passive
passivity	passivity
Passover	Passover
passport	passport
password	password
past	past
pasta	pasta
paste	paste
pasteboard	pasteboard
pastel	pastel
pastern	pastern
pasteurize	pasteurize
pastiche	pastiche
pastille	pastille
pastime	pastime
pasting	pasting
pastor	pastor
pastoral	pastoral
pastrami	pastrami
pastry	pastry
pasture	pasture
pastureland	pastureland
pasty	pasty
pat	pat
patch	patch
patchouli	patchouli
patchwork	patchwork
patchy	patchy
pate	pate
patella	patella
patent	patent
patently	patently
paterfamilias	paterfamilias
paternal	paternal
paternalism	paternalism
paternity	paternity
path	path
pathetic	pathetic
pathfinder	pathfinder
pathogen	pathogen
pathological	pathological
pathologist	pathologist
pathology	pathology
pathos	pathos
pathway	pathway
patience	patience
patient	patient
patina	patina
patination	patination
patio	patio
patisserie	patisserie
patois	patois
patriarch	patriarch
patriarchal	patriarchal
patriarchate	patriarchate
patriarchy	patriarchy
patrician	patrician
patricide	patricide
patrimony	patrimony
patriot	patriot
patriotic	patriotic
patriotism	patriotism
patrol	patrol
patrolman	patrolman
patron	patron
patronage	patronage
patroness	patroness
patronize	patronize
patronizing	patronizing
patsy	patsy
patter	patter
pattern	pattern
patterned	patterned
patterning	patterning
patty	patty
paucity	paucity
paunch	paunch
pauper	pauper
pause	pause
pave	pave
pavement	pavement
pavilion	pavilion
paving	paving
pavlova	pavlova
paw	paw
pawn	pawn
pawnbroker	pawnbroker
pawnshop	pawnshop
pawpaw	pawpaw
pay	pay
payable	payable
payback	payback
PAYE	PAYE
payee	payee
payer	payer
payload	payload
paymaster	paymaster
payment	payment
payola	payola
payout	payout
payphone	payphone
payroll	payroll
payslip	payslip
PC	PC
pdq	pdq
PE	PE
pea	pea
peace	peace
peaceable	peaceable
peaceful	peaceful
peacekeeping	peacekeeping
peacemaker	peacemaker
peacetime	peacetime
peach	peach
peachy	peachy
peacock	peacock
peahen	peahen
peak	peak
peaked	peaked
peaky	peaky
peal	peal
peanut	peanut
pear	pear
pearl	pearl
pearly	pearly
peasant	peasant
peasantry	peasantry
peashooter	peashooter
peat	peat
pebble	pebble
pebbly	pebbly
pecan	pecan
peccadillo	peccadillo
peck	peck
pecker	pecker
peckish	peckish
pectin	pectin
pectoral	pectoral
pectorals	pectorals
peculiar	peculiar
peculiarity	peculiarity
peculiarly	peculiarly
pecuniary	pecuniary
pedagogic	pedagogic
pedagogue	pedagogue
pedagogy	pedagogy
pedal	pedal
pedalo	pedalo
pedant	pedant
pedantic	pedantic
pedantry	pedantry
peddle	peddle
peddler	peddler
pedestal	pedestal
pedestrian	pedestrian
pedestrianize	pedestrianize
pediatrician	pediatrician
pediatrics	pediatrics
pedicure	pedicure
pedigree	pedigree
pediment	pediment
pedlar	pedlar
pedometer	pedometer
pedophile	pedophile
pee	pee
peek	peek
peekaboo	peekaboo
peel	peel
peeler	peeler
peelings	peelings
peep	peep
peephole	peephole
peer	peer
peerage	peerage
peeress	peeress
peerless	peerless
peeve	peeve
peeved	peeved
peevish	peevish
peewit	peewit
peg	peg
pejorative	pejorative
Pekinese	Pekinese
pelagic	pelagic
pelican	pelican
pellagra	pellagra
pellet	pellet
pelleted	pelleted
pellucid	pellucid
pelmet	pelmet
pelt	pelt
pelvis	pelvis
pen	pen
penal	penal
penalize	penalize
penalty	penalty
penance	penance
pence	pence
penchant	penchant
pencil	pencil
pendant	pendant
pending	pending
pendulous	pendulous
pendulum	pendulum
penetrable	penetrable
penetrate	penetrate
penetrating	penetrating
penetration	penetration
penetrative	penetrative
penfriend	penfriend
penguin	penguin
penicillin	penicillin
penile	penile
peninsula	peninsula
peninsular	peninsular
penis	penis
penitence	penitence
penitent	penitent
penitential	penitential
penitentiary	penitentiary
penknife	penknife
penmanship	penmanship
pennant	pennant
penniless	penniless
penny	penny
pennyworth	pennyworth
penology	penology
pension	pension
pensionable	pensionable
pensioner	pensioner
pensive	pensive
pentagon	pentagon
pentagonal	pentagonal
pentagram	pentagram
pentameter	pentameter
pentathlon	pentathlon
Pentecost	Pentecost
Pentecostal	Pentecostal
penthouse	penthouse
penultimate	penultimate
penumbra	penumbra
penurious	penurious
penury	penury
peon	peon
peony	peony
people	people
pep	pep
pepper	pepper
peppercorn	peppercorn
peppermint	peppermint
pepperoni	pepperoni
peppery	peppery
per	per
perambulation	perambulation
perceive	perceive
percentage	percentage
percentile	percentile
perceptible	perceptible
perception	perception
perceptive	perceptive
perceptual	perceptual
perch	perch
perchance	perchance
perched	perched
percipient	percipient
percolate	percolate
percolator	percolator
percussion	percussion
percussionist	percussionist
percussive	percussive
perdition	perdition
peregrination	peregrination
peregrine	peregrine
peremptorily	peremptorily
peremptory	peremptory
perennial	perennial
perfect	perfect
perfection	perfection
perfectionist	perfectionist
perfectly	perfectly
perfidious	perfidious
perfidy	perfidy
perforate	perforate
perforation	perforation
perforce	perforce
perform	perform
performance	performance
performer	performer
perfume	perfume
perfumery	perfumery
perfunctory	perfunctory
pergola	pergola
perhaps	perhaps
peril	peril
perilous	perilous
perimeter	perimeter
perinatal	perinatal
period	period
periodic	periodic
periodical	periodical
peripatetic	peripatetic
peripheral	peripheral
periphery	periphery
periscope	periscope
perish	perish
perishable	perishable
perishables	perishables
perished	perished
perishing	perishing
peritonitis	peritonitis
periwinkle	periwinkle
perjure	perjure
perjury	perjury
perk	perk
perky	perky
perm	perm
permafrost	permafrost
permanence	permanence
permanent	permanent
permeable	permeable
permeate	permeate
permissible	permissible
permission	permission
permissive	permissive
permit	permit
permutation	permutation
pernicious	pernicious
pernickety	pernickety
peroration	peroration
peroxide	peroxide
perpendicular	perpendicular
perpetrate	perpetrate
perpetrator	perpetrator
perpetual	perpetual
perpetuate	perpetuate
perpetuity	perpetuity
perplex	perplex
perplexed	perplexed
perplexity	perplexity
perquisite	perquisite
perry	perry
persecute	persecute
persecutor	persecutor
perseverance	perseverance
persevere	persevere
persevering	persevering
Persian	Persian
persimmon	persimmon
persist	persist
persistence	persistence
persistent	persistent
persnickety	persnickety
person	person
persona	persona
personable	personable
personage	personage
personal	personal
personality	personality
personalize	personalize
personally	personally
personification	personification
personify	personify
personnel	personnel
perspective	perspective
Perspex	Perspex
perspicacious	perspicacious
perspiration	perspiration
perspire	perspire
persuade	persuade
persuasion	persuasion
persuasive	persuasive
pert	pert
pertain	pertain
pertinacious	pertinacious
pertinent	pertinent
perturb	perturb
perturbation	perturbation
peruse	peruse
pervade	pervade
pervasive	pervasive
perverse	perverse
perversion	perversion
pervert	pervert
perverted	perverted
peseta	peseta
pesky	pesky
peso	peso
pessary	pessary
pessimism	pessimism
pessimist	pessimist
pessimistic	pessimistic
pest	pest
pester	pester
pesticide	pesticide
pestilence	pestilence
pestilential	pestilential
pestle	pestle
pesto	pesto
pet	pet
petal	petal
petard	petard
Peter	Peter
peter	peter
pethidine	pethidine
petite	petite
petition	petition
petitioner	petitioner
petrel	petrel
petrified	petrified
petrify	petrify
petrochemical	petrochemical
petrodollar	petrodollar
petrol	petrol
petroleum	petroleum
petrology	petrology
petticoat	petticoat
pettifogging	pettifogging
petting	petting
pettish	pettish
petty	petty
petulant	petulant
petunia	petunia
pew	pew
pewter	pewter
PG	PG
PGCE	PGCE
pH	pH
phalanx	phalanx
phallic	phallic
phallus	phallus
phantasm	phantasm
phantasmagoria	phantasmagoria
phantasy	phantasy
phantom	phantom
pharaoh	pharaoh
Pharisee	Pharisee
pharmaceutical	pharmaceutical
pharmacist	pharmacist
pharmacologist	pharmacologist
pharmacology	pharmacology
pharmacopoeia	pharmacopoeia
pharmacy	pharmacy
pharynx	pharynx
phase	phase
PhD	PhD
pheasant	pheasant
phenol	phenol
phenom	phenom
phenomenal	phenomenal
phenomenally	phenomenally
phenomenology	phenomenology
phenomenon	phenomenon
pheromone	pheromone
phew	phew
phial	phial
philanderer	philanderer
philandering	philandering
philanthropist	philanthropist
philanthropy	philanthropy
philatelist	philatelist
philately	philately
philharmonic	philharmonic
philistine	philistine
philologist	philologist
philology	philology
philosopher	philosopher
philosophical	philosophical
philosophize	philosophize
philosophy	philosophy
philtre	philtre
phlegm	phlegm
phlegmatic	phlegmatic
phlox	phlox
phobia	phobia
phobic	phobic
phoenix	phoenix
phone	phone
phonecard	phonecard
phoneme	phoneme
phonetic	phonetic
phonetics	phonetics
phoney	phoney
phonic	phonic
phonics	phonics
phonology	phonology
phony	phony
phosgene	phosgene
phosphate	phosphate
phosphorescent	phosphorescent
phosphorus	phosphorus
photo	photo
photocell	photocell
photocopier	photocopier
photocopy	photocopy
photoelectric	photoelectric
photogenic	photogenic
photograph	photograph
photographer	photographer
photographic	photographic
photography	photography
photojournalism	photojournalism
photon	photon
photosensitive	photosensitive
Photostat	Photostat
photosynthesis	photosynthesis
phrasal	phrasal
phrase	phrase
phraseology	phraseology
phrasing	phrasing
phrenology	phrenology
phylum	phylum
physical	physical
physicality	physicality
physically	physically
physician	physician
physicist	physicist
physics	physics
physio	physio
physiognomy	physiognomy
physiologist	physiologist
physiology	physiology
physiotherapist	physiotherapist
physiotherapy	physiotherapy
physique	physique
pi	pi
pianissimo	pianissimo
pianist	pianist
piano	piano
piazza	piazza
pic	pic
picaresque	picaresque
piccolo	piccolo
pick	pick
pickaxe	pickaxe
picker	picker
picket	picket
picketer	picketer
picketing	picketing
pickings	pickings
pickle	pickle
pickled	pickled
pickpocket	pickpocket
pickup	pickup
picky	picky
picnic	picnic
picnicker	picnicker
pictogram	pictogram
pictorial	pictorial
picture	picture
picturesque	picturesque
piddle	piddle
piddling	piddling
pidgin	pidgin
pie	pie
piebald	piebald
piece	piece
piecemeal	piecemeal
piecework	piecework
pied	pied
pier	pier
pierce	pierce
piercing	piercing
piety	piety
piffle	piffle
piffling	piffling
pig	pig
pigeon	pigeon
piggery	piggery
piggy	piggy
piggyback	piggyback
piglet	piglet
pigment	pigment
pigmentation	pigmentation
pigmented	pigmented
pigmy	pigmy
pigskin	pigskin
pigsty	pigsty
pigswill	pigswill
pigtail	pigtail
pike	pike
pikestaff	pikestaff
pilaf	pilaf
pilaster	pilaster
pilchard	pilchard
pile	pile
piledriver	piledriver
piles	piles
pilfer	pilfer
pilgrim	pilgrim
pilgrimage	pilgrimage
pill	pill
pillage	pillage
pillar	pillar
pillared	pillared
pillbox	pillbox
pillion	pillion
pillock	pillock
pillory	pillory
pillow	pillow
pillowcase	pillowcase
pilot	pilot
pimento	pimento
pimp	pimp
pimpernel	pimpernel
pimple	pimple
PIN	PIN
pin	pin
pinafore	pinafore
pinball	pinball
pincer	pincer
pinch	pinch
pinched	pinched
pincushion	pincushion
pine	pine
pineapple	pineapple
pinewood	pinewood
ping	ping
pinhead	pinhead
pinhole	pinhole
pinion	pinion
pink	pink
pinkie	pinkie
pinkish	pinkish
pinko	pinko
pinky	pinky
pinnacle	pinnacle
pinny	pinny
pinpoint	pinpoint
pinprick	pinprick
pinstripe	pinstripe
pint	pint
pinta	pinta
pinwheel	pinwheel
pioneer	pioneer
pioneering	pioneering
pious	pious
pip	pip
pipe	pipe
pipedream	pipedream
pipeline	pipeline
piper	piper
pipette	pipette
pipework	pipework
piping	piping
pipit	pipit
pipsqueak	pipsqueak
piquancy	piquancy
piquant	piquant
pique	pique
piracy	piracy
piranha	piranha
pirate	pirate
pirouette	pirouette
Pisces	Pisces
piss	piss
pissed	pissed
pistachio	pistachio
piste	piste
